,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1171,random-90-9.64-0,CP-RANK-ADD,90,4755.617,3.22,1.0475648363943035,3649.017,287.0047,1800.01,0,0,1451786,3266639,0.5992224068253877
1172,random-90-20.00-0,CP-RANK-ADD,90,4947.538,0.8,2.3340561837649836,3297.457,0.0,1800.02,0,0,2241048,5063500,1.265964470274411
1173,random-100-10.68-0,CP-RANK-ADD,100,5577.88,5.29,1.3560158791475196,4064.763,0.0,1800.02,0,0,963814,2175083,0.796823648815186
1174,random-100-15.00-0,CP-RANK-ADD,100,5429.329,9.98,1.7855630076325641,3750.992,0.0,1800.01,0,0,1440427,3279179,1.074003356137277
1175,random-100-24.00-0,CP-RANK-ADD,100,5515.343,1.15,2.609537223197862,3443.661,0.0,1800.01,0,0,1765971,4002803,1.3254946040668367
1176,random-100-19.68-0,CP-RANK-ADD,100,5564.617,1.42,2.3156226816967185,3578.752,0.0,1800.01,0,0,1601267,3658392,1.2938950165797583
1177,random-150-46.40-0,CP-RANK-ADD,150,8300.652,6.59,4.10906170319885,4366.4,0.0,1800.01,0,0,556049,1392934,1.9553989222719699
1178,random-150-32.80-0,CP-RANK-ADD,150,8195.854,22.0,3.392378167759524,5254.71,0.0,1800.01,0,0,554958,1384997,2.0529180380240057
1179,random-150-19.68-0,CP-RANK-ADD,150,7574.209,14.54,2.0417922993707576,5887.806,0.0,1800.02,0,0,431868,1025006,1.4480533608744088
1180,random-10-1.30-0,CP-RANK-DEL,10,0,0,0,0,0.0,0.09,0,0,36,62,-1
1181,random-10-0.00-0,CP-RANK-DEL,10,0,0,0,0,0.0,0.05,0,0,62,114,-1
1182,random-20-2.60-0,CP-RANK-DEL,20,0,0,0,0,0.0,0.05,0,0,99,188,-1
1183,random-10-2.50-0,CP-RANK-DEL,10,0,0,0,0,0.0,0.09,0,0,545,1092,-1
1184,random-10-3.80-0,CP-RANK-DEL,10,554.2197,0.09,0.2918874125874126,498.0323,498.0034,0.19,0,0,3122,6277,0.16092123108650613
1185,random-20-0.00-0,CP-RANK-DEL,20,0,0,0,0,0.0,0.05,0,0,78,146,-1
1186,random-30-2.60-0,CP-RANK-DEL,30,0,0,0,0,0.0,0.07,0,0,117,224,-1
1187,random-10-5.00-0,CP-RANK-DEL,10,480.5302,0.09,0.5206651898734177,368.9834,368.9465,0.43,0,0,14774,29914,0.16769601832630104
1188,random-30-0.00-0,CP-RANK-DEL,30,0,0,0,0,0.0,0.09,0,0,115,220,-1
1189,random-40-4.60-0,CP-RANK-DEL,40,0,0,0,0,0.0,0.09,0,0,83,156,-1
1190,random-40-2.00-0,CP-RANK-DEL,40,0,0,0,0,0.0,0.11,0,0,45,80,-1
1191,random-50-2.00-0,CP-RANK-DEL,50,0,0,0,0,0.0,0.24,0,0,204,400,-1
1192,random-50-4.60-0,CP-RANK-DEL,50,0,0,0,0,0.0,0.48,0,0,870,1780,-1
1193,random-60-4.00-0,CP-RANK-DEL,60,0,0,0,0,0.0,0.88,0,0,1161,2409,-1
1194,random-60-6.60-0,CP-RANK-DEL,60,0,0,0,0,0.0,1.2,0,0,1230,2546,-1
1195,random-20-5.00-0,CP-RANK-DEL,20,1012.439,0.05,0.7159983050847457,649.0636,648.9987,75.77,0,0,1173976,2467597,0.10017868555743871
1196,random-200-8.00-0,CP-RANK-DEL,200,0,0,0,0,0.0,167.73,0,0,15022,32425,-1
1197,random-70-4.00-0,CP-RANK-DEL,70,0,0,0,0,0.0,1.8,0,0,2046,4293,-1
1198,random-70-7.12-0,CP-RANK-DEL,70,0,0,0,0,0.0,7.69,0,0,8262,17175,-1
1199,random-30-5.00-0,CP-RANK-DEL,30,1642.95,0.07,0.36231343283582096,1263.916,1263.79,294.99,0,0,2718854,5758857,0.04907709310853136
1200,random-20-10.00-0,CP-RANK-DEL,20,882.013,0.08,1.2216952141057935,445.4195,73.1181,1800.01,0,0,38656975,80557835,0.12376238056255254
1201,random-20-7.60-0,CP-RANK-DEL,20,895.8893,0.07,0.806228427419355,540.6787,119.9792,1800.01,0,0,31219237,64626112,0.09107048109094992
1202,random-30-7.60-0,CP-RANK-DEL,30,1555.349,0.05,1.1632114047287898,837.7318,218.6036,1800.0,0,0,17515775,37676911,0.23086648298485554
